text
@nay_ssilv Não é facil Mas meu único problema ta sendo o ape  pq por mais q eu goste do IFSC  n da pra morar lá KKKKKKKK,@nay_ssilv Não é facil Mas meu único problema ta sendo o ape  pq por mais q eu goste do IFSC  n da pra morar lá KKKKKKKK
tiraro o insta do ifsc das mãos do castro deu nisso,tiraro o insta do ifsc das mãos do castro deu nisso
Os estudantes do ifsul Venâncio Aires  os de agora e os de outros tempos  mostram que estudar no IF é algo bem exigente! Mas vale muito a pena. .,Os estudantes do ifsul Venâncio Aires  os de agora e os de outros tempos  mostram que estudar no IF é algo bem exigente! Mas vale muito a pena. .
a lenda do ifsul termino foi???,a lenda do ifsul termino foi???
Galera do ifpr  se achar uma mochila verde neon da Nike  do primeiro período de contabeis  favor entrar em contato cmg pq é minha KKKKKKKKK Ficou na sala  e eu sei lá aonde foi parar  fui procurar dnv lá e n tava,Galera do ifpr  se achar uma mochila verde neon da Nike  do primeiro período de contabeis  favor entrar em contato cmg pq é minha KKKKKKKKK Ficou na sala  e eu sei lá aonde foi parar  fui procurar dnv lá e n tava
Que alegria ver a volta da festa junina do IFSul Campus Venâncio Aires! Os alunos do quarto ano tiveram a única oportunidade.  Coisas de tempos pandêmicos ! Mas a felicidade foi encontrar ex-alunos  com abraços de saudade.   Marquei @Gussono e @gabrielahuyer mas foram tantos . . .,Que alegria ver a volta da festa junina do IFSul Campus Venâncio Aires! Os alunos do quarto ano tiveram a única oportunidade.  Coisas de tempos pandêmicos ! Mas a felicidade foi encontrar ex-alunos  com abraços de saudade.   Marquei @Gussono e @gabrielahuyer mas foram tantos . . .
Galeria Cultural do IFSul  em Pelotas  recebe a exposição Origens  com visitas até o dia 10 de agosto  Abertura oficial da exposição ocorreu na segunda  dia 10  na Reitoria do IFSul  (https://t. co/x8c1J9VVPJ),Galeria Cultural do IFSul  em Pelotas  recebe a exposição Origens  com visitas até o dia 10 de agosto  Abertura oficial da exposição ocorreu na segunda  dia 10  na Reitoria do IFSul  (https://t. co/x8c1J9VVPJ)
adoro achar e stalkear o twitter do pessoal do ifc,adoro achar e stalkear o twitter do pessoal do ifc
Mds imagina se eu n tivesse decidido fazer a prova do ifsc em 2017 literalmente meu evento canônico,Mds imagina se eu n tivesse decidido fazer a prova do ifsc em 2017 literalmente meu evento canônico
@fmadriirm metade do ifsc aí,@fmadriirm metade do ifsc aí
@chanssita Eu tenho uma teoria de que os cursos do IFSC são do tipo de curso que você entra achando que é algo e não é bem assim  Além disso  por ser pouco concorrido  entra um pessoal que não sabe muito como estudar (eu),@chanssita Eu tenho uma teoria de que os cursos do IFSC são do tipo de curso que você entra achando que é algo e não é bem assim  Além disso  por ser pouco concorrido  entra um pessoal que não sabe muito como estudar (eu)
@_vicrodrigues_ @b_lolowski Desde o primeiro semestre do ifsc  a @AAARAIAAA tá de prova  ele só senta em objetos inanimados,@_vicrodrigues_ @b_lolowski Desde o primeiro semestre do ifsc  a @AAARAIAAA tá de prova  ele só senta em objetos inanimados
