text
Desde que eu sai do ifam nunca mais tinha sentido uma vontade ensurdecedora de me matas ksksks mas olha hoje  nesse exato momento kskskskskAAAAAAA,Desde que eu sai do ifam nunca mais tinha sentido uma vontade ensurdecedora de me matas ksksks mas olha hoje  nesse exato momento kskskskskAAAAAAA
@_fofomasnaorola Uma passarela na frente do ifpa,@_fofomasnaorola Uma passarela na frente do ifpa
"""a pq vc n sei oq"" fds prr eu passei em uma prova do IFAM  filho de cristo 🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿","""a pq vc n sei oq"" fds prr eu passei em uma prova do IFAM  filho de cristo 🖕🏿🖕🏿🖕🏿🖕🏿🖕🏿"
scrr a minha prof do ifro estava no evento e ainda nos cumprimentamos,scrr a minha prof do ifro estava no evento e ainda nos cumprimentamos
Eu fazendo minha inscrição no vestibular do IFPA como quem n quer nada https://t. co/qEMXfxylyK,Eu fazendo minha inscrição no vestibular do IFPA como quem n quer nada https://t. co/qEMXfxylyK
só lembro da época do ifam com os vinagrinhos KKKKKKKKKKKKKKKK,só lembro da época do ifam com os vinagrinhos KKKKKKKKKKKKKKKK
nunca pensei q ia sentir sdds do ifam,nunca pensei q ia sentir sdds do ifam
isso era o que a gente mais fazia no futzinho na quadra do ifpa campus bragança,isso era o que a gente mais fazia no futzinho na quadra do ifpa campus bragança
Vamos votar nas propostas que garantem melhorias para a Rede Federal? Assista ao convite da reitora do Ifac  Rosana Cavalcante dos Santos e vote nas propostas.  https://t. co/SiOpuktDWN,Vamos votar nas propostas que garantem melhorias para a Rede Federal? Assista ao convite da reitora do Ifac  Rosana Cavalcante dos Santos e vote nas propostas.  https://t. co/SiOpuktDWN
eu indo amanhã no IFRO em plena 7 da manhã,eu indo amanhã no IFRO em plena 7 da manhã
Liga não.  Esse aí não passou nem no ifam e nem na ufam e só reproduz o q os gados falam muuuu,Liga não.  Esse aí não passou nem no ifam e nem na ufam e só reproduz o q os gados falam muuuu
@kakadowaki Falando nisso  até hoje eu não peguei meu diploma do ensino médio lá no Ifro khkhkhlkhkk,@kakadowaki Falando nisso  até hoje eu não peguei meu diploma do ensino médio lá no Ifro khkhkhlkhkk
Eu ainda não fiz minha matrícula no ifam :) e se eu não fizer?,Eu ainda não fiz minha matrícula no ifam :) e se eu não fizer?
@_eduardorn Descobri que ano passado passei em Eng mecânica no ifam kkkk e esse ano dnv kkkkk toda vez eu perco a inscrição mané fico puto,@_eduardorn Descobri que ano passado passei em Eng mecânica no ifam kkkk e esse ano dnv kkkkk toda vez eu perco a inscrição mané fico puto
@vita_graduada fui algumas semanas antes de entrar no ifro  ele falou que entrar lá iria me ajudar  maior esquema de pirâmide pra psicólogo,@vita_graduada fui algumas semanas antes de entrar no ifro  ele falou que entrar lá iria me ajudar  maior esquema de pirâmide pra psicólogo
apenas 8hrs e meia de volei 🤤  - “há quanto tempo cê treina com o alvanei?”  - “aa po  nem treino com ele  só jogo la no ifro msm” kkakakakskks,apenas 8hrs e meia de volei 🤤  - “há quanto tempo cê treina com o alvanei?”  - “aa po  nem treino com ele  só jogo la no ifro msm” kkakakakskks
Eu nunca trabalhei/estagiei em uma escola cívico-militar.  Meus estágios sempre foram em escola pública estadual comum e no IFPA (PIBIC e Residência Pedagógica).  Alguém que estudou em escola cívico-militar pode dizer o que os militares fazem lá e a diferença da escola padrão?,Eu nunca trabalhei/estagiei em uma escola cívico-militar.  Meus estágios sempre foram em escola pública estadual comum e no IFPA (PIBIC e Residência Pedagógica).  Alguém que estudou em escola cívico-militar pode dizer o que os militares fazem lá e a diferença da escola padrão?
